REGION	MEASURE	INDEX	TSEST	FREQUENCY	TIME_FORMAT	obsTime	obsValue	city	obsValuerel	up
1	1	30014	10	Q	P3M	1982-01-01T00:00:00Z	22.4	Sydney	1	TRUE
1	1	30014	10	Q	P3M	1982-04-01T00:00:00Z	23	Sydney	1.00396825396825	TRUE
1	1	30014	10	Q	P3M	1982-07-01T00:00:00Z	24	Sydney	1.01226993865031	TRUE
1	1	30014	10	Q	P3M	1982-10-01T00:00:00Z	24.3	Sydney	0.994419642857143	TRUE
1	1	30014	10	Q	P3M	1983-01-01T00:00:00Z	24.6	Sydney	0.986151603498543	TRUE
1	1	30014	10	Q	P3M	1983-04-01T00:00:00Z	25	Sydney	0.982142857142857	TRUE
1	1	30014	10	Q	P3M	1983-07-01T00:00:00Z	25.3	Sydney	0.977176966292135	TRUE
1	1	30014	10	Q	P3M	1983-10-01T00:00:00Z	25.4	Sydney	0.956849315068493	TRUE
1	1	30014	10	Q	P3M	1984-01-01T00:00:00Z	25.7	Sydney	0.973484848484849	TRUE
1	1	30014	10	Q	P3M	1984-04-01T00:00:00Z	26.2	Sydney	0.989697802197802	TRUE
1	1	30014	10	Q	P3M	1984-07-01T00:00:00Z	26.8	Sydney	0.998644986449865	TRUE
1	1	30014	10	Q	P3M	1984-10-01T00:00:00Z	27.2	Sydney	1	TRUE
1	1	30014	10	Q	P3M	1985-01-01T00:00:00Z	27.7	Sydney	1.00494722955145	TRUE
1	1	30014	10	Q	P3M	1985-04-01T00:00:00Z	28.3	Sydney	1.00289948453608	TRUE
1	1	30014	10	Q	P3M	1985-07-01T00:00:00Z	29.5	Sydney	1.02172544080605	TRUE
1	1	30014	10	Q	P3M	1985-10-01T00:00:00Z	30.2	Sydney	1.02530864197531	TRUE
1	1	30014	10	Q	P3M	1986-01-01T00:00:00Z	30.9	Sydney	1.02626811594203	TRUE
1	1	30014	10	Q	P3M	1986-04-01T00:00:00Z	31.8	Sydney	1.03859857482185	TRUE
1	1	30014	10	Q	P3M	1986-07-01T00:00:00Z	32.8	Sydney	1.04398148148148	TRUE
1	1	30014	10	Q	P3M	1986-10-01T00:00:00Z	33.6	Sydney	1.04054054054054	TRUE
1	1	30014	10	Q	P3M	1987-01-01T00:00:00Z	34.6	Sydney	1.05022075055188	TRUE
1	1	30014	10	Q	P3M	1987-04-01T00:00:00Z	35.7	Sydney	1.06711956521739	TRUE
1	1	30014	10	Q	P3M	1987-07-01T00:00:00Z	37.2	Sydney	1.09294871794872	TRUE
1	1	30014	10	Q	P3M	1987-10-01T00:00:00Z	38.5	Sydney	1.11213235294118	TRUE
1	1	30014	10	Q	P3M	1988-01-01T00:00:00Z	40.1	Sydney	1.13920454545455	TRUE
1	1	30014	10	Q	P3M	1988-04-01T00:00:00Z	41.6	Sydney	1.16024340770791	TRUE
1	1	30014	10	Q	P3M	1988-07-01T00:00:00Z	43.4	Sydney	1.18874501992032	TRUE
1	1	30014	10	Q	P3M	1988-10-01T00:00:00Z	44.5	Sydney	1.195068359375	TRUE
1	1	30014	10	Q	P3M	1989-01-01T00:00:00Z	45.7	Sydney	1.21542553191489	TRUE
1	1	30014	10	Q	P3M	1989-04-01T00:00:00Z	46.6	Sydney	1.20896226415094	TRUE
1	1	30014	10	Q	P3M	1989-07-01T00:00:00Z	47.6	Sydney	1.20756457564576	TRUE
1	1	30014	10	Q	P3M	1989-10-01T00:00:00Z	48.1	Sydney	1.19814311594203	TRUE
