NUMRPRCF	SIHHHWT
0	1295.2
0	1221.4
0	994.49
0	991.4
0	1085.1
0	1061.09
0	1365.62
0	757.61
0	2388.38
0	1576.38
0	1392.51
0	962.03
0	722.62
0	1178.37
0	976.41
0	764.36
0	846.78
0	1194.72
0	1743.83
0	1184.14
0	1018.64
0	1166.84
0	1458.21
0	822.35
0	1773.02
0	1071.71
0	801.58
0	2203.04
0	1441.26
0	1228.04
0	900.77
0	1084.79
0	571.09
0	1569.4
0	1176.79
0	928.9
0	976.54
0	929.12
0	1352.59
0	1384.93
0	1959.13
0	1042.77
0	1916.82
0	2528.32
0	1496.47
0	967.2
0	1497.76
0	1316.65
0	995.95
0	899.31
0	2291.84
0	1642.71
0	1492.88
0	1359.06
0	1074.4
0	1240.99
0	1118.13
0	1125.6
0	1228.04
0	465.9
0	1026.97
0	1036.29
0	1525.92
0	718.39
0	877.72
0	951.2
0	1015.2
0	1303.44
0	1007.85
0	1277.7
0	784.26
0	965.81
0	1287.35
0	991.82
0	873.53
0	958.97
0	1337.36
0	1032.06
0	901.82
0	592.09
0	893.71
0	1316.83
1	1097.09
2	1849.12
0	994.14
0	585.45
0	514.34
0	1300.88
0	739.49
0	990.64
0	965.06
0	1116.9
0	1302.69
0	957.21
0	905.82
0	782.89
0	2259.81
0	1300.99
0	1051.61
0	1237.85
0	1138.5
2	1411.58
0	1102.29
0	1146.09
0	958.93
0	953.35
0	1425.31
0	1129.07
0	1205.2
0	2285.38
0	1191.71
0	1308.28
0	1113.42
0	1528.84
0	1549.48
0	1685
0	1292.65
0	1203.26
0	757.61
0	1048.4
0	1033.26
0	586.62
0	1793.26
0	1169.25
0	1335.89
0	1549.48
0	902.17
0	903.19
0	1323.65
0	928.52
0	701.7
0	1984.27
0	1362.35
0	658.46
0	949.66
0	1264
0	1903.1
0	1562.15
0	1497.73
0	645.65
0	855.92
0	625.56
0	1056.55
0	1239.99
0	1504.76
0	1060.44
0	2234.69
0	955.85
0	623.06
0	1145.63
0	2441.52
0	1498.15
0	649.26
0	1051.14
0	634.55
0	910.41
0	1184.4
0	928.9
0	1457.29
1	1448.86
0	1178.37
0	768.65
0	928.9
0	1123.04
0	1146.74
1	1135.41
0	931.86
0	1465.61
0	871.16
0	1460.06
0	1275.62
0	1099.65
0	1244.31
0	1256.13
0	1709.58
0	1877.18
0	2582.01
0	1380.6
0	1157.19
0	1128.13
0	938.11
2	1231.87
0	1628.38
0	1496.47
0	1027.96
0	622.26
0	1197.59
0	922.83
0	1802.84
0	1138.83
0	776.65
2	771.04
0	878.46
0	1546.85
0	1709.58
0	1138.5
0	864.82
0	1040.67
0	1138.5
0	1148.94
0	906.38
0	1018.44
0	656.76
0	951.2
0	1234.63
0	1971.8
0	1544.7
0	1159.62
0	1768.53
0	784.64
0	1553.81
1	1061.63
0	701.42
0	1383.34
0	833.69
0	1581.22
1	1376.37
0	1437.18
0	922.83
0	1338.72
0	852.23
1	1464.21
0	1117.04
0	1025.37
0	1305.14
0	921.62
0	997.18
0	1665.75
1	1041.04
0	1583.63
0	1138.5
0	1203.26
0	829.6
0	1087.73
0	2269.87
0	821.44
0	960.04
0	1081.96
1	826.5
2	1066.76
1	839.61
0	795.02
0	1259.48
1	1196.81
0	1727.53
0	1166.83
0	1018.64
0	1056.55
0	991.4
0	1227.3
0	1056.76
0	1036.65
0	1137.95
0	1433.74
0	1162.34
0	809.27
0	1549.48
0	1019.77
0	1546.85
0	1238.67
0	1088.62
0	1167.01
0	1315.47
0	1580.91
0	771.89
0	781
0	938.97
0	1157.9
0	1273.31
0	1107.96
0	699.34
0	802.42
0	1046.45
0	892.17
1	1149.81
0	2116.29
0	1157.19
0	1027.61
0	1184.14
0	997.96
0	945.31
1	1003.06
0	834.36
0	1192.68
0	1270.96
0	1256
0	536.35
0	1354.41
0	585.63
0	1301.76
0	878.21
0	1000.89
0	1267.22
0	1036.65
0	946.57
0	864.38
0	1165.83
0	1616.24
0	1009.63
0	1616.05
0	1601.77
1	1008.86
2	970.56
0	1340.14
0	1338.72
0	1066.54
0	764.82
0	1094.4
0	1102.91
0	1293.33
0	899.02
0	869.71
0	845.9
0	859.72
0	704.08
0	1357.42
0	1056.55
0	873.53
0	785.35
0	1192.96
0	808.9
1	1165.88
2	868.52
0	1011.55
0	893.78
0	1297.82
0	1370.89
0	994.49
0	1966
0	1547.62
0	1027.83
1	1467.92
0	1101.01
0	1306.5
0	1159.59
0	1134.11
0	936.27
0	877.98
0	1704.31
0	844.57
0	893.78
0	966.02
0	1560.65
0	1225.18
0	951.2
0	927.81
0	2502.36
0	927.97
0	1184.29
1	868.52
0	1516.1
0	589.33
0	1044.97
0	1896.45
0	1027.29
0	1055.51
0	1263.53
0	1651.63
0	1054.62
0	855.92
0	1000.32
0	1045.99
0	1030.06
1	1269.62
0	1874.28
0	1040.14
0	1896.88
0	583.95
0	754.3
0	1492.88
0	1337.38
1	1449.5
1	537.55
0	1177.56
0	1262.8
0	1955.69
0	2362.36
0	2263.69
0	1878.99
0	771.89
0	932.43
0	1670.81
0	1092.37
0	999.28
0	1128.13
2	1485.59
0	586.62
0	1157.9
0	1167.01
0	906.12
0	1682.32
0	1237.69
0	526.49
0	1549.48
0	1663.66
0	810.92
0	946.22
0	1243.97
0	786.58
0	1178.74
0	708.46
0	1176.49
0	1399.75
2	1197.95
0	1090.46
0	980.26
1	903.35
0	1789.68
0	1457.24
0	1089.79
0	874.99
0	1496.85
0	777.84
