"Selected items"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"
"Number of individuals"	"no."	6487440	6972725	7330715	7283495	8263255	7604885	7813965	8200615	8343795	8874210	9257035	9421815	9330715	9288825	9272970	9391090	9619010	10188615	10271135	10317585	10364730	10751410	10933145	11093975	11350160	11662875	11946065	12208760	12562515	12994080	12908185	13049455	13275055	13366780	13226484	12964285
"Number of taxable individuals"	"no."	5208120	5662415	5998375	5954875	6863065	6338015	6546545	6966075	7181865	7629455	7906140	8074690	7800250	7660355	7661770	7609300	7861135	8406025	8557900	8643240	8485225	9074345	8948110	9064090	9241690	9442995	9723380	9920200	9850200	10083420	9582260	9537600	9815520	10203645	9762315	9712293
"Number of non-taxable individuals"	"no."	1279320	1310310	1332340	1328625	1400190	1266865	1267420	1234540	1161930	1244760	1350890	1347130	1530470	1628470	1611200	1781790	1757875	1782590	1713235	1674345	1879510	1677060	1985030	2029885	2108475	2219875	2222685	2288560	2712315	2910660	3325920	3511860	3459530	3163135	3464166	3251992
"Number of males"	"no."	NA	NA	NA	NA	NA	NA	NA	4626495	4647105	4914610	5082160	5158160	5099715	5076135	5070630	5125870	5219020	5514450	5530600	5557600	5570765	5772065	5834230	5878660	5963295	6089255	6223025	6344865	6523110	6760940	6680150	6755450	6873630	6981476	6912978	6747711
"Number of females"	"no."	NA	NA	NA	NA	NA	NA	NA	3574115	3696690	3959605	4174875	4263660	4231005	4212690	4202340	4265220	4399990	4674165	4740530	4759985	4793965	4979345	5098915	5215315	5386865	5573620	5723040	5863895	6039405	6233135	6228030	6294005	6401425	6385304	6313506	6216574
"Number of residents"	"no."	NA	NA	NA	NA	NA	NA	NA	8178465	8324365	8852485	9235320	9400155	9308890	9264670	9245345	9360385	9588540	10151850	10238385	10291210	10310210	10689300	10869740	11020140	11280350	11591845	11873640	12134830	12481635	12906460	12818545	12954885	13177330	13263698	13124288	12868673
"Number of non-residents"	"no."	NA	NA	NA	NA	NA	NA	NA	22150	19430	21725	21715	21660	21825	24155	27625	30705	30470	36765	32750	26375	54520	62110	63405	73835	69810	71030	72425	73930	80880	87620	89640	94575	97725	103082	102196	95612
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Number of individuals by state"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NSW"	"no."	NA	NA	NA	NA	NA	NA	NA	2819065	2834990	3007325	3090075	3147995	3123905	3134075	3112810	3144505	3218860	3387715	3414645	3435905	3459135	3608435	3677280	3701335	3761700	3850320	3920540	3978125	4066365	4174915	4129605	4158110	4219900	4218083	4159253	4064418
"VIC"	"no."	NA	NA	NA	NA	NA	NA	NA	2205755	2249570	2377890	2466200	2490435	2451835	2413545	2387990	2388390	2424270	2551230	2565680	2585675	2599320	2700070	2750965	2793345	2851260	2914455	2976705	3036160	3114550	3213010	3194905	3240915	3306625	3323285	3288874	3227886
