"Age","number_negatively_gearing","prop_NG_investors","gearing","number"
"30
to
34",150500,0.82025,"Negative gearing",147850
"20
to
24",17600,0.830882,"Negative gearing",16950
"under
20",200,0.75,"Negative gearing",150
"35
to
39",163950,0.778074,"Negative gearing",160750
"45
to
49",177250,0.690121,"Negative gearing",173600
"55
to
59",151200,0.591715,"Negative gearing",148550
"40
to
44",182300,0.716962,"Negative gearing",177950
"50
to
54",185050,0.661682,"Negative gearing",181400
"70
and
over",15900,0.137079,"Negative gearing",15250
"65
to
69",34550,0.314806,"Negative gearing",33700
"25
to
29",94350,0.850664,"Negative gearing",92850
"60
to
64",88450,0.461334,"Negative gearing",86800
"30
to
34",150500,0.82025,"Not negative gearing",32400
"20
to
24",17600,0.830882,"Not negative gearing",3450
"under
20",200,0.75,"Not negative gearing",50
"35
to
39",163950,0.778074,"Not negative gearing",45850
"45
to
49",177250,0.690121,"Not negative gearing",77950
"55
to
59",151200,0.591715,"Not negative gearing",102500
"40
to
44",182300,0.716962,"Not negative gearing",70250
"50
to
54",185050,0.661682,"Not negative gearing",92750
"70
and
over",15900,0.137079,"Not negative gearing",96000
"65
to
69",34550,0.314806,"Not negative gearing",73350
"25
to
29",94350,0.850664,"Not negative gearing",16300
"60
to
64",88450,0.461334,"Not negative gearing",101350
"30
to
34",150500,0.82025,"neither",1.1684e+006
"20
to
24",17600,0.830882,"neither",1.1991e+006
"under
20",200,0.75,"neither",436900
"35
to
39",163950,0.778074,"neither",1.06225e+006
"45
to
49",177250,0.690121,"neither",995150
"55
to
59",151200,0.591715,"neither",829150
"40
to
44",182300,0.716962,"neither",1.0995e+006
"50
to
54",185050,0.661682,"neither",977350
"70
and
over",15900,0.137079,"neither",594300
"65
to
69",34550,0.314806,"neither",417850
"25
to
29",94350,0.850664,"neither",1.3264e+006
"60
to
64",88450,0.461334,"neither",661550
