marginal_tax_rate,return_type,Nominal annual capital gain__10.0\%,Nominal annual capital gain__4.0\%,Nominal annual capital gain__5.0\%,Nominal annual capital gain__6.0\%,Nominal annual capital gain__8.0\%,CGT treatment
0.345,real,0.187226466804934,0.338899524878276,0.294210815680829,0.261862475916153,0.217253394816307,50\% discount
0.345,real,0.262203732487419,0.34277710548295,0.325920619153483,0.310920579531293,0.284708551570114,Indexed
0.345,real,0.235782372246783,0.39612399523423,0.350438625114109,0.316731417072497,0.268999195707581,25\% discount
0.345,real,0.28769216598583,0.455379015251992,0.409059577101164,0.374288309652047,0.323853110520519,0\% discount
0.345,excess,0.231279753111975,0.610019144780894,0.462331281784157,0.378245798545553,0.284100593221328,50\% discount
0.345,excess,0.323898728366811,0.61699878986932,0.512160972955472,0.449107503767425,0.372311182822456,Indexed
0.345,excess,0.291260577481317,0.713023191421623,0.550689268036455,0.457500935771382,0.351768179002222,25\% discount
0.345,excess,0.355384440335434,0.819682227453581,0.642807906873257,0.540638669497396,0.423500221449911,0\% discount
0.39,real,0.213114171808982,0.384622157298059,0.334133657858395,0.297572751695598,0.247116966030809,50\% discount
0.39,real,0.30028477955205,0.387789117073677,0.369742322344529,0.353571586251216,0.32504760821764,Indexed
0.39,real,0.269604458578512,0.450598113574414,0.399091894748227,0.361074623013541,0.307181805615906,25\% discount
0.39,real,0.330702975157817,0.519294631473079,0.467274123493262,0.428215470051106,0.371489430756597,0\% discount
0.39,excess,0.26325868282286,0.692319883136508,0.525067176634624,0.429827308004747,0.323152955578752,50\% discount
0.39,excess,0.370940021799591,0.698020410732622,0.581023649398545,0.510714513473976,0.42506225689999,Indexed
0.39,excess,0.333040801773454,0.811076604433946,0.627144406032924,0.521552233241782,0.401699284266954,25\% discount
0.39,excess,0.408515439900831,0.93473033665154,0.734287908346557,0.618533456740482,0.485793870989397,0\% discount
0.47,real,0.260127457666768,0.466889689670682,0.40611931339248,0.362082587437035,0.30122807916697,50\% discount
0.47,real,0.370859139392882,0.467938520401997,0.448461644201186,0.430780559310795,0.399027004781797,Indexed
0.47,real,0.331948772982623,0.549320783430883,0.487592398046544,0.44200267391844,0.37725625497636,25\% discount
0.47,real,0.411441636746752,0.63606251919927,0.574228042723073,0.52780574649963,0.460256293940688,0\% discount
0.47,excess,0.32133391829424,0.840401441407227,0.638187492473892,0.523008181853489,0.393913641987579,50\% discount
0.47,excess,0.458120113367675,0.842289336723595,0.704725440887585,0.622238585671143,0.521804544714659,Indexed
0.47,excess,0.41005436662559,0.988777410175589,0.766216625501715,0.638448306771075,0.493335102661399,25\% discount
0.47,excess,0.508251433628337,1.14491253455869,0.902358352850548,0.762386078277241,0.601873615153208,0\% discount
