age_range_description,prop_NG,prop_PG,age
70 and over,0.0232758050651326,0.1371421014349,72.5
65 to 69,0.0595291379464685,0.136245636021842,67.5
60 to 64,0.101167983510821,0.122351998167869,62.5
55 to 59,0.132240487201795,0.100004578964238,57.5
50 to 54,0.144011463599092,0.0847032599609919,52.5
45 to 49,0.133607440820726,0.0673426210530518,47.5
40 to 44,0.126453965360073,0.0560072926162261,42.5
35 to 39,0.127481183948836,0.0444955738408143,37.5
30 to 34,0.103560098695805,0.0282692985548114,32.5
25 to 29,0.0603765719446953,0.0118460362676301,27.5
20 to 24,0.0137792036854228,0.00329055610398157,22.5
under 20,0.000708800945067927,0.000118133490844654,17.5
