marginal_tax_rate,return_type,Nominal annual capital gain__10.0\%,Nominal annual capital gain__4.0\%,Nominal annual capital gain__5.0\%,Nominal annual capital gain__6.0\%,Nominal annual capital gain__8.0\%,CGT treatment
0.345,real,0.187226466804936,0.338899524878276,0.294210815680829,0.261862475916154,0.217253394816307,50\% discount
0.345,real,0.262203732487422,0.342777105482955,0.325920619153483,0.310920579531294,0.284708551570114,Indexed
0.345,real,0.235782372246783,0.396123995234235,0.350438625114109,0.316731417072495,0.268999195707581,25\% discount
0.345,real,0.28769216598583,0.455379015251992,0.409059577101164,0.374288309652044,0.323853110520519,0\% discount
0.345,excess,0.231279753111977,0.61001914478089,0.462331281784157,0.378245798545553,0.284100593221328,50\% discount
0.345,excess,0.323898728366813,0.616998789869316,0.512160972955472,0.449107503767425,0.372311182822456,Indexed
0.345,excess,0.291260577481319,0.71302319142162,0.550689268036455,0.457500935771382,0.351768179002222,25\% discount
0.345,excess,0.355384440335436,0.819682227453579,0.642807906873257,0.540638669497396,0.423500221449907,0\% discount
0.39,real,0.213114171808984,0.384622157298059,0.334133657858395,0.297572751695595,0.247116966030809,50\% discount
0.39,real,0.30028477955205,0.387789117073677,0.369742322344529,0.353571586251213,0.32504760821764,Indexed
0.39,real,0.269604458578512,0.450598113574414,0.399091894748227,0.361074623013539,0.307181805615906,25\% discount
0.39,real,0.330702975157817,0.519294631473079,0.467274123493262,0.428215470051104,0.371489430756597,0\% discount
0.39,excess,0.263258682822862,0.692319883136505,0.525067176634624,0.429827308004747,0.323152955578752,50\% discount
0.39,excess,0.37094002179959,0.698020410732609,0.581023649398545,0.510714513473975,0.42506225689999,Indexed
0.39,excess,0.333040801773456,0.811076604433945,0.627144406032924,0.521552233241777,0.401699284266954,25\% discount
0.39,excess,0.408515439900833,0.934730336651539,0.734287908346557,0.618533456740482,0.485793870989397,0\% discount
0.47,real,0.260127457666768,0.466889689670682,0.40611931339248,0.362082587437033,0.301228079166973,50\% discount
0.47,real,0.370859139392882,0.467938520401997,0.448461644201191,0.430780559310793,0.399027004781797,Indexed
0.47,real,0.331948772982623,0.549320783430883,0.487592398046548,0.442002673918438,0.377256254976363,25\% discount
0.47,real,0.411441636746752,0.636062519199275,0.574228042723077,0.527805746499631,0.460256293940688,0\% discount
0.47,excess,0.321333918294242,0.840401441407225,0.638187492473892,0.523008181853489,0.393913641987579,50\% discount
0.47,excess,0.458120113367677,0.842289336723594,0.704725440887578,0.622238585671143,0.521804544714659,Indexed
0.47,excess,0.410054366625592,0.988777410175589,0.766216625501715,0.638448306771075,0.493335102661395,25\% discount
0.47,excess,0.508251433628339,1.14491253455869,0.902358352850548,0.762386078277241,0.601873615153208,0\% discount
