Selected_items,fy_year,$,no.,avg_loss,avg_loss_real,year
Net rent – loss,1993-94,-1.872e+09,499735,3745.98537224729,6858.50329943163,1994.5
Net rent – loss,1994-95,-2.345e+09,561630,4175.3467585421,7369.02891868089,1995.5
Net rent – loss,1995-96,-2968110454,643555,4612.0540653091,7844.67202045023,1996.5
Net rent – loss,1996-97,-2777190348,650405,4269.94003428633,7165.35391744621,1997.5
Net rent – loss,1997-98,-2412679911,623620,3868.83023475835,6501.94454378791,1998.5
Net rent – loss,1998-99,-2495966765,649680,3841.84023673193,6380.40133710937,1999.5
Net rent – loss,1999-00,-3110944665,736810,4222.18029749868,6820.91106884291,2000.5
Net rent – loss,2000-01,-4053057665,809280,5008.22665208581,7630.93803822546,2001.5
Net rent – loss,2001-02,-4044538930,825080,4901.9960852281,7253.15058077114,2002.5
Net rent – loss,2002-03,-4991797313,900840,5541.26960725545,7938.25646026671,2003.5
Net rent – loss,2003-04,-6580122957,996835,6601.01517001309,9267.75945316052,2004.5
Net rent – loss,2004-05,-8065025288,1050270,7679.00186428252,10531.7370270184,2005.5
Net rent – loss,2005-06,-9294909032,1106470,8400.50704673421,11194.0484433405,2006.5
Net rent – loss,2006-07,-10952558079,1170485,9357.28187802492,12166.6274765082,2007.5
Net rent – loss,2007-08,-13311916758,1236215,10768.2860651262,13427.56379771,2008.5
Net rent – loss,2008-09,-12002518507,1178155,10187.554699509,12401.2828017807,2009.5
Net rent – loss,2009-10,-10859243929,1177340,9223.54114274551,10909.3564356423,2010.5
Net rent – loss,2010-11,-14115137656,1280935,11019.4019649709,12622.4278866299,2011.5
Net rent – loss,2011-12,-14574254038,1330377,10954.9804589225,12347.6556523992,2012.5
Net rent – loss,2012-13,-12676789164,1319730,9605.59293491851,10562.4000436702,2013.5
Net rent – loss,2013-14,-11513026280,1314239,8760.22266878399,9358.64395166107,2014.5
Net rent – loss,2014-15,-11546879829,1323277,8725.97334420533,9199.85579173708,2015.5
Net rent – loss,2015-16,-11345342392,1291389,8785.37945731302,9142.6407291446,2016.5
