Taxable_Income,Density
-15212.582588254,5.26027070239163e-08
-14742.2456701004,6.964957495997e-08
-14271.9087519467,9.12552601789717e-08
-13801.5718337931,1.18340818255099e-07
-13331.2349156395,1.51937861019599e-07
-12860.8979974858,1.93187269923748e-07
-12390.5610793322,2.43335744820499e-07
-11920.2241611786,3.05703192000243e-07
-11449.8872430249,3.80983936218526e-07
-10979.5503248713,4.70234870774385e-07
-10509.2134067176,5.74962014016606e-07
-10038.876488564,6.96622668132203e-07
-9568.53957041037,8.3658406620845e-07
-9098.20265225673,9.96078933610234e-07
-8627.8657341031,1.17990580063976e-06
-8157.52881594946,1.38578720749958e-06
-7687.19189779583,1.61322213254278e-06
-7216.85497964219,1.86186246897453e-06
-6746.51806148855,2.13089111167303e-06
-6276.18114333492,2.41899295725738e-06
-5805.84422518128,2.7243325184206e-06
-5335.50730702765,3.04645225565402e-06
-4865.17038887401,3.37877138259998e-06
-4394.83347072037,3.71727978025042e-06
-3924.49655256674,4.05779137139118e-06
-3454.1596344131,4.39584073561301e-06
-2983.82271625947,4.72677061473246e-06
-2513.48579810583,5.04578607736396e-06
-2043.14887995219,5.34350077888435e-06
-1572.81196179856,5.61803061830229e-06
-1102.47504364492,5.86555888568167e-06
-632.138125491285,6.08281327940837e-06
-161.801207337649,6.26714445984453e-06
308.535710815988,6.41659309881255e-06
778.872628969624,6.52930577994297e-06
1249.20954712326,6.59902612679062e-06
1719.5464652769,6.63360639601504e-06
2189.88338343053,6.63492146980947e-06
2660.22030158417,6.60549069964863e-06
3130.5572197378,6.54839820097806e-06
3600.89413789144,6.46720562185988e-06
4071.23105604508,6.36537422590753e-06
4541.56797419871,6.24639855778764e-06
5011.90489235235,6.11801926504515e-06
5482.24181050598,5.98444644135068e-06
5952.57872865962,5.84967895080575e-06
6422.91564681326,5.71743484338569e-06
6893.25256496689,5.59109083875271e-06
7363.58948312053,5.47420952117497e-06
7833.92640127416,5.37116951231769e-06
8304.2633194278,5.28220380674583e-06
8774.60023758144,5.20850332673043e-06
9244.93715573507,5.15084666379264e-06
9715.27407388871,5.10963054186795e-06
10185.6109920423,5.08490375885565e-06
10655.947910196,5.07738450102865e-06
11126.2848283496,5.08742488390368e-06
11596.6217465033,5.11186926187424e-06
12066.9586646569,5.14970611677454e-06
12537.2955828105,5.19984172776663e-06
13007.6325009642,5.26112747840683e-06
13477.9694191178,5.33238438732909e-06
13948.3063372714,5.41299357274711e-06
14418.6432554251,5.50170804021213e-06
14888.9801735787,5.59634057088725e-06
15359.3170917323,5.6958259390788e-06
15829.654009886,5.79914803699194e-06
16299.9909280396,5.90534295266805e-06
16770.3278461933,6.01350155774192e-06
17240.6647643469,6.12277784781955e-06
17711.0016825005,6.23212730718216e-06
18181.3386006542,6.34077484916339e-06
18651.6755188078,6.44812520067972e-06
19122.0124369614,6.55365447806171e-06
19592.3493551151,6.6569127710553e-06
20062.6862732687,6.75752653401108e-06
20533.0231914223,6.85485255740216e-06
21003.360109576,6.94870134194786e-06
21473.6970277296,7.03929646037527e-06
21944.0339458832,7.1266597483927e-06
22414.3708640369,7.21088407051538e-06
22884.7077821905,7.29212808731306e-06
23355.0447003442,7.37061024438935e-06
23825.3816184978,7.44634915238151e-06
24295.7185366514,7.51990470172041e-06
24766.0554548051,7.59183289693448e-06
25236.3923729587,7.66250729160058e-06
25706.7292911123,7.73230108461973e-06
26177.066209266,7.80157889346384e-06
26647.4031274196,7.87068896107796e-06
27117.7400455732,7.94003210165101e-06
27588.0769637269,8.00995373628767e-06
28058.4138818805,8.08065354845937e-06
28528.7508000342,8.15229929903258e-06
28999.0877181878,8.2250127143094e-06
29469.4246363414,8.29886870774636e-06
29939.7615544951,8.37389507836279e-06
30410.0984726487,8.45023110059905e-06
30880.4353908023,8.52763463260261e-06
31350.772308956,8.60589982781207e-06
