Date,Sydney,Melbourne,Brisbane,Adelaide,Perth,Australia
Mar-1982,0.3,-1.4,-0.1,3.1,-2.6,-0.9
Jun-1982,-0.7,-0.4,3.4,0.9,1.3,0.6
Sep-1982,-1,0.3,3.5,3.1,0.1,0.5
Dec-1982,-1,3.4,4.3,2.5,0.5,1.3
Mar-1983,-2.3,3,1.6,0.9,-0.5,0.1
Jun-1983,-2.4,1.8,0.1,-0.1,-3.7,-1.2
Sep-1983,-3.2,2.9,-2.2,-1.1,-4,-1.6
Dec-1983,-2.9,1,-1.2,0.5,-3.3,-1.9
Mar-1984,-0.4,3.2,0.6,4.2,-0.8,1.2
Jun-1984,2,6.4,0.4,7.5,1.3,3.2
Sep-1984,3.1,5.5,0.6,7.9,1,3.7
Dec-1984,4.6,7.4,1.2,7.3,3.2,5.2
Mar-1985,3.6,5.3,-0.8,3.8,0.7,3.5
Jun-1985,1.6,1.4,-1.6,1.4,-1.2,1.1
Sep-1985,2.4,1.9,-3,1.1,-0.1,1.3
Dec-1985,2.6,1,-4.3,0.2,0.8,1.1
Mar-1986,2.3,0.3,-4.4,-0.2,2.1,0.7
Jun-1986,3.5,1.5,-3.8,-0.3,6.1,2.1
Sep-1986,2.3,1,-3.3,-1.4,5.5,1.5
Dec-1986,1.6,-0.2,-4.5,-2.9,5.9,0.8
Mar-1987,2.5,-0.1,-4.6,-2,6.7,0.7
Jun-1987,3,-0.5,-4.6,-2,5.3,0.6
Sep-1987,4.8,0.4,-2.7,1.2,5.7,2.1
Dec-1987,7.6,1,-1.1,1.5,3.8,3.6
Mar-1988,8.6,1.3,-0.6,1.9,2.6,4.8
Jun-1988,9.3,0.5,1.2,1.6,0.8,4.4
Sep-1988,8.5,0.7,1,0.1,0,4.1
Dec-1988,6.3,1.2,2.4,0.4,-0.2,3.6
Mar-1989,7,1.6,4.4,0.2,0.9,3.8
Jun-1989,4,1.2,3.4,-0.6,1.9,2.6
