"Year","Initial_revenue_diff","Eventual_revenue_diff","eventual_means...","Diff_due_CG","CGT_discount_for_individuals_and_trusts_millions"
2004,3.4149,1.86145,"After 20 years",1.70437,2920
2005,4.25048,2.33488,"After 20 years",2.07313,4260
2006,4.86593,2.73889,"After 20 years",2.56198,4960
2007,6.64907,4.30827,"After 20 years",4.196,6150
2008,6.41985,4.27051,"After 20 years",3.54154,9740
2009,4.20241,1.70336,"After 20 years",1.55629,9170
2010,3.81968,1.64196,"After 20 years",1.43281,4320
2011,4.67682,1.90225,"After 20 years",1.67475,4410
2012,4.60977,1.53177,"After 20 years",1.33249,4930
2013,4.42641,1.71132,"After 20 years",1.36683,4080
