"","Var1","Freq"
"1","[       0,    2000)",10135
"2","[    2000,    4000)",3377
"3","[    4000,    6000)",3424
"4","[    6000,    8000)",3441
"5","[    8000,   10000)",3772
"6","[   10000,   12000)",4062
"7","[   12000,   14000)",4428
"8","[   14000,   16000)",4837
"9","[   16000,   18000)",5228
"10","[   18000,   20000)",5709
"11","[   20000,   22000)",5936
"12","[   22000,   24000)",6098
"13","[   24000,   26000)",5797
"14","[   26000,   28000)",5550
"15","[   28000,   30000)",5390
"16","[   30000,   32000)",5270
"17","[   32000,   34000)",5135
"18","[   34000,   36000)",5176
"19","[   36000,   38000)",5323
"20","[   38000,   40000)",5360
"21","[   40000,   42000)",5314
"22","[   42000,   44000)",5388
"23","[   44000,   46000)",5234
"24","[   46000,   48000)",5093
"25","[   48000,   50000)",5034
"26","[   50000,   52000)",4863
"27","[   52000,   54000)",4842
"28","[   54000,   56000)",4468
"29","[   56000,   58000)",4386
"30","[   58000,   60000)",4347
"31","[   60000,   62000)",4186
"32","[   62000,   64000)",4019
"33","[   64000,   66000)",3815
"34","[   66000,   68000)",3681
"35","[   68000,   70000)",3519
"36","[   70000,   72000)",3399
"37","[   72000,   74000)",3215
"38","[   74000,   76000)",3129
"39","[   76000,   78000)",3034
"40","[   78000,   80000)",3044
"41","[   80000,   82000)",2882
"42","[   82000,   84000)",2734
"43","[   84000,   86000)",2572
"44","[   86000,   88000)",2544
"45","[   88000,   90000)",2438
"46","[   90000,   92000)",2482
"47","[   92000,   94000)",2164
"48","[   94000,   96000)",2117
"49","[   96000,   98000)",2111
"50","[   98000,  100000)",1914
"51","[  100000,  102000)",1772
"52","[  102000,  104000)",1757
"53","[  104000,  106000)",1624
"54","[  106000,  108000)",1606
"55","[  108000,  110000)",1472
"56","[  110000,  112000)",1401
"57","[  112000,  114000)",1357
"58","[  114000,  116000)",1261
"59","[  116000,  118000)",1208
"60","[  118000,  120000)",1128
"61","[  120000,  122000)",1024
"62","[  122000,  124000)",1000
"63","[  124000,  126000)",979
"64","[  126000,  128000)",930
"65","[  128000,  130000)",869
"66","[  130000,  132000)",814
"67","[  132000,  134000)",795
"68","[  134000,  136000)",769
"69","[  136000,  138000)",684
"70","[  138000,  140000)",647
"71","[  140000,  142000)",644
"72","[  142000,  144000)",613
"73","[  144000,  146000)",621
"74","[  146000,  148000)",578
"75","[  148000,  150000)",536
"76","[  150000,  152000)",487
"77","[  152000,  154000)",551
"78","[  154000,  156000)",509
"79","[  156000,  158000)",486
"80","[  158000,  160000)",449
"81","[  160000,  162000)",419
"82","[  162000,  164000)",413
"83","[  164000,  166000)",385
"84","[  166000,  168000)",413
"85","[  168000,  170000)",352
"86","[  170000,  172000)",349
"87","[  172000,  174000)",365
"88","[  174000,  176000)",328
"89","[  176000,  178000)",316
"90","[  178000,  180000)",326
"91","[  180000,  182000)",317
"92","[  182000,  184000)",285
"93","[  184000,  186000)",255
"94","[  186000,  188000)",260
"95","[  188000,  190000)",257
"96","[  190000,  192000)",267
"97","[  192000,  194000)",212
"98","[  194000,  196000)",231
"99","[  196000,  198000)",225
"100","[  198000,  200000)",193
"101","[  200000,  202000)",196
"102","[  202000,  204000)",249
"103","[  204000,  206000)",206
"104","[  206000,  208000)",187
"105","[  208000,  210000)",197
"106","[  210000,  212000)",188
"107","[  212000,  214000)",166
"108","[  214000,  216000)",187
"109","[  216000,  218000)",155
"110","[  218000,  220000)",139
"111","[  220000,  222000)",144
"112","[  222000,  224000)",122
"113","[  224000,  226000)",122
"114","[  226000,  228000)",129
"115","[  228000,  230000)",131
"116","[  230000,  232000)",130
"117","[  232000,  234000)",137
"118","[  234000,  236000)",121
"119","[  236000,  238000)",102
"120","[  238000,  240000)",101
"121","[  240000,  242000)",98
"122","[  242000,  244000)",87
"123","[  244000,  246000)",104
"124","[  246000,  248000)",105
"125","[  248000,  250000)",81
"126","[  250000,  252000)",83
"127","[  252000,  254000)",63
"128","[  254000,  256000)",81
"129","[  256000,  258000)",87
"130","[  258000,  260000)",83
"131","[  260000,  262000)",60
"132","[  262000,  264000)",77
"133","[  264000,  266000)",63
"134","[  266000,  268000)",56
"135","[  268000,  270000)",46
"136","[  270000,  272000)",67
"137","[  272000,  274000)",57
"138","[  274000,  276000)",70
"139","[  276000,  278000)",41
"140","[  278000,  280000)",59
"141","[  280000,  282000)",53
"142","[  282000,  284000)",70
"143","[  284000,  286000)",44
"144","[  286000,  288000)",52
"145","[  288000,  290000)",58
"146","[  290000,  292000)",69
"147","[  292000,  294000)",64
"148","[  294000,  296000)",60
"149","[  296000,  298000)",49
"150","[  298000,  300000)",60
"151","[  300000,  302000)",48
"152","[  302000,  304000)",56
"153","[  304000,  306000)",51
"154","[  306000,  308000)",39
"155","[  308000,  310000)",44
"156","[  310000,  312000)",45
"157","[  312000,  314000)",37
"158","[  314000,  316000)",37
"159","[  316000,  318000)",42
"160","[  318000,  320000)",39
"161","[  320000,  322000)",51
"162","[  322000,  324000)",40
"163","[  324000,  326000)",35
"164","[  326000,  328000)",39
"165","[  328000,  330000)",34
"166","[  330000,  332000)",35
"167","[  332000,  334000)",45
"168","[  334000,  336000)",35
"169","[  336000,  338000)",37
"170","[  338000,  340000)",23
"171","[  340000,  342000)",36
"172","[  342000,  344000)",33
"173","[  344000,  346000)",39
"174","[  346000,  348000)",21
"175","[  348000,  350000)",29
"176","[  350000,  352000)",24
"177","[  352000,  354000)",28
"178","[  354000,  356000)",24
"179","[  356000,  358000)",28
"180","[  358000,  360000)",20
"181","[  360000,  362000)",25
"182","[  362000,  364000)",26
"183","[  364000,  366000)",22
"184","[  366000,  368000)",24
"185","[  368000,  370000)",18
"186","[  370000,  372000)",16
"187","[  372000,  374000)",19
"188","[  374000,  376000)",18
"189","[  376000,  378000)",27
"190","[  378000,  380000)",21
"191","[  380000,  382000)",22
"192","[  382000,  384000)",20
"193","[  384000,  386000)",18
"194","[  386000,  388000)",14
"195","[  388000,  390000)",15
"196","[  390000,  392000)",23
"197","[  392000,  394000)",16
"198","[  394000,  396000)",17
"199","[  396000,  398000)",15
"200","[  398000,  400000)",14
"201","[  400000,  402000)",17
"202","[  402000,  404000)",17
"203","[  404000,  406000)",15
"204","[  406000,  408000)",21
"205","[  408000,  410000)",17
"206","[  410000,  412000)",13
"207","[  412000,  414000)",16
"208","[  414000,  416000)",15
"209","[  416000,  418000)",14
"210","[  418000,  420000)",16
"211","[  420000,  422000)",4
"212","[  422000,  424000)",16
"213","[  424000,  426000)",11
"214","[  426000,  428000)",16
"215","[  428000,  430000)",12
"216","[  430000,  432000)",16
"217","[  432000,  434000)",12
"218","[  434000,  436000)",10
"219","[  436000,  438000)",18
"220","[  438000,  440000)",13
"221","[  440000,  442000)",10
"222","[  442000,  444000)",13
"223","[  444000,  446000)",14
"224","[  446000,  448000)",14
"225","[  448000,  450000)",11
"226","[  450000,  452000)",4
"227","[  452000,  454000)",14
"228","[  454000,  456000)",11
"229","[  456000,  458000)",20
"230","[  458000,  460000)",9
"231","[  460000,  462000)",10
"232","[  462000,  464000)",14
"233","[  464000,  466000)",8
"234","[  466000,  468000)",12
"235","[  468000,  470000)",8
"236","[  470000,  472000)",9
"237","[  472000,  474000)",9
"238","[  474000,  476000)",18
"239","[  476000,  478000)",7
"240","[  478000,  480000)",12
"241","[  480000,  482000)",6
"242","[  482000,  484000)",5
"243","[  484000,  486000)",16
"244","[  486000,  488000)",5
"245","[  488000,  490000)",9
"246","[  490000,  492000)",7
"247","[  492000,  494000)",11
"248","[  494000,  496000)",10
"249","[  496000,  498000)",10
"250","[  498000,  500000)",6
"251","[  500000,  502000)",6
"252","[  502000,  504000)",11
"253","[  504000,  506000)",8
"254","[  506000,  508000)",8
"255","[  508000,  510000)",9
"256","[  510000,  512000)",8
"257","[  512000,  514000)",11
"258","[  514000,  516000)",5
"259","[  516000,  518000)",5
"260","[  518000,  520000)",7
"261","[  520000,  522000)",5
"262","[  522000,  524000)",2
"263","[  524000,  526000)",3
"264","[  526000,  528000)",4
"265","[  528000,  530000)",6
"266","[  530000,  532000)",3
"267","[  532000,  534000)",9
"268","[  534000,  536000)",6
"269","[  536000,  538000)",3
"270","[  538000,  540000)",7
"271","[  540000,  542000)",6
"272","[  542000,  544000)",10
"273","[  544000,  546000)",8
"274","[  546000,  548000)",8
"275","[  548000,  550000)",4
"276","[  550000,  552000)",5
"277","[  552000,  554000)",6
"278","[  554000,  556000)",7
"279","[  556000,  558000)",4
"280","[  558000,  560000)",4
"281","[  560000,  562000)",4
"282","[  562000,  564000)",2
"283","[  564000,  566000)",2
"284","[  566000,  568000)",8
"285","[  568000,  570000)",5
"286","[  570000,  572000)",4
"287","[  572000,  574000)",7
"288","[  574000,  576000)",8
"289","[  576000,  578000)",5
"290","[  578000,  580000)",9
"291","[  580000,  582000)",3
"292","[  582000,  584000)",1
"293","[  584000,  586000)",7
"294","[  586000,  588000)",5
"295","[  588000,  590000)",2
"296","[  590000,  592000)",3
"297","[  592000,  594000)",5
"298","[  594000,  596000)",6
"299","[  596000,  598000)",7
"300","[  598000,  600000)",3
"301","[  600000,  602000)",7
"302","[  602000,  604000)",6
"303","[  604000,  606000)",5
"304","[  606000,  608000)",4
"305","[  608000,  610000)",4
"306","[  610000,  612000)",5
"307","[  612000,  614000)",2
"308","[  614000,  616000)",5
"309","[  616000,  618000)",6
"310","[  618000,  620000)",5
"311","[  620000,  622000)",2
"312","[  622000,  624000)",4
"313","[  624000,  626000)",4
"314","[  626000,  628000)",3
"315","[  628000,  630000)",3
"316","[  630000,  632000)",2
"317","[  632000,  634000)",4
"318","[  634000,  636000)",6
"319","[  636000,  638000)",5
"320","[  638000,  640000)",2
"321","[  640000,  642000)",6
"322","[  642000,  644000)",6
"323","[  644000,  646000)",4
"324","[  646000,  648000)",5
"325","[  648000,  650000)",2
"326","[  650000,  652000)",4
"327","[  652000,  654000)",1
"328","[  654000,  656000)",6
"329","[  656000,  658000)",3
"330","[  658000,  660000)",6
"331","[  660000,  662000)",3
"332","[  662000,  664000)",4
"333","[  664000,  666000)",4
"334","[  666000,  668000)",5
"335","[  668000,  670000)",2
"336","[  670000,  672000)",1
"337","[  672000,  674000)",2
"338","[  674000,  676000)",3
"339","[  676000,  678000)",2
"340","[  678000,  680000)",2
"341","[  680000,  682000)",2
"342","  682000",0
"343","[  684000,  686000)",2
"344","[  686000,  688000)",3
"345","[  688000,  690000)",1
"346","[  690000,  692000)",1
"347","[  692000,  694000)",3
"348","  694000",0
"349","[  696000,  698000)",1
"350","[  698000,  700000)",1
"351","  700000",0
"352","  702000",0
"353","[  704000,  706000)",2
"354","[  706000,  708000)",3
"355","[  708000,  710000)",1
"356","[  710000,  712000)",1
"357","[  712000,  714000)",1
"358","[  714000,  716000)",2
"359","[  716000,  718000)",3
"360","[  718000,  720000)",3
"361","  720000",0
"362","[  722000,  724000)",3
"363","[  724000,  726000)",3
"364","[  726000,  728000)",2
"365","[  728000,  730000)",2
"366","[  730000,  732000)",4
"367","[  732000,  734000)",2
"368","[  734000,  736000)",2
"369","[  736000,  738000)",2
"370","[  738000,  740000)",4
"371","[  740000,  742000)",3
"372","[  742000,  744000)",2
"373","[  744000,  746000)",5
"374","[  746000,  748000)",3
"375","[  748000,  750000)",4
"376","[  750000,  752000)",1
"377","[  752000,  754000)",2
"378","[  754000,  756000)",1
"379","[  756000,  758000)",3
"380","  758000",0
"381","[  760000,  762000)",1
"382","[  762000,  764000)",3
"383","[  764000,  766000)",2
"384","[  766000,  768000)",1
"385","[  768000,  770000)",1
"386","[  770000,  772000)",3
"387","[  772000,  774000)",1
"388","[  774000,  776000)",4
"389","  776000",0
"390","[  778000,  780000)",2
"391","[  780000,  782000)",4
"392","[  782000,  784000)",2
"393","  784000",0
"394","[  786000,  788000)",1
"395","[  788000,  790000)",2
"396","[  790000,  792000)",2
"397","[  792000,  794000)",1
"398","[  794000,  796000)",1
"399","[  796000,  798000)",3
"400","[  798000,  800000)",2
"401","[  800000,  802000)",1
"402","[  802000,  804000)",2
"403","[  804000,  806000)",2
"404","  806000",0
"405","[  808000,  810000)",1
"406","[  810000,  812000)",1
"407","  812000",0
"408","[  814000,  816000)",1
"409","[  816000,  818000)",2
"410","[  818000,  820000)",4
"411","[  820000,  822000)",3
"412","[  822000,  824000)",2
"413","  824000",0
"414","  826000",0
"415","  828000",0
"416","[  830000,  832000)",2
"417","[  832000,  834000)",2
"418","[  834000,  836000)",2
"419","[  836000,  838000)",3
"420","[  838000,  840000)",2
"421","[  840000,  842000)",1
"422","[  842000,  844000)",1
"423","[  844000,  846000)",2
"424","[  846000,  848000)",3
"425","[  848000,  850000)",1
"426","  850000",0
"427","  852000",0
"428","[  854000,  856000)",1
"429","  856000",0
"430","[  858000,  860000)",1
"431","[  860000,  862000)",1
"432","[  862000,  864000)",3
"433","  864000",0
"434","[  866000,  868000)",1
"435","[  868000,  870000)",1
"436","[  870000,  872000)",1
"437","[  872000,  874000)",1
"438","[  874000,  876000)",1
"439","[  876000,  878000)",2
"440","[  878000,  880000)",1
"441","  880000",0
"442","  882000",0
"443","[  884000,  886000)",3
"444","  886000",0
"445","[  888000,  890000)",2
"446","[  890000,  892000)",2
"447","[  892000,  894000)",2
"448","[  894000,  896000)",1
"449","[  896000,  898000)",2
"450","[  898000,  900000)",1
"451","  900000",0
"452","[  902000,  904000)",1
"453","[  904000,  906000)",2
"454","[  906000,  908000)",1
"455","[  908000,  910000)",3
"456","[  910000,  912000)",2
"457","[  912000,  914000)",1
"458","[  914000,  916000)",1
"459","[  916000,  918000)",2
"460","[  918000,  920000)",1
"461","[  920000,  922000)",2
"462","  922000",0
"463","  924000",0
"464","  926000",0
"465","  928000",0
"466","[  930000,  932000)",1
"467","[  932000,  934000)",2
"468","  934000",0
"469","  936000",0
"470","[  938000,  940000)",3
"471","[  940000,  942000)",3
"472","[  942000,  944000)",1
"473","[  944000,  946000)",4
"474","[  946000,  948000)",1
"475","[  948000,  950000)",1
"476","[  950000,  952000)",2
"477","  952000",0
"478","[  954000,  956000)",4
"479","  956000",0
"480","  958000",0
"481","  960000",0
"482","  962000",0
"483","  964000",0
"484","[  966000,  968000)",3
"485","  968000",0
"486","[  970000,  972000)",1
"487","[  972000,  974000)",1
"488","[  974000,  976000)",1
"489","[  976000,  978000)",1
"490","[  978000,  980000)",1
"491","  980000",0
"492","[  982000,  984000)",1
"493","  984000",0
"494","[  986000,  988000)",1
"495","[  988000,  990000)",1
"496","  990000",0
"497","[  992000,  994000)",1
"498","  994000",0
"499","  996000",0
"500","[  998000, 1000000)",1
"501"," 1000000",0
"502","[ 1002000, 1004000)",3
"503"," 1004000",0
"504"," 1006000",0
"505"," 1008000",0
"506","[ 1010000, 1012000)",1
"507","[ 1012000, 1014000)",1
"508","[ 1014000, 1016000)",1
"509","[ 1016000, 1018000)",1
"510"," 1018000",0
"511"," 1020000",0
"512","[ 1022000, 1024000)",2
"513","[ 1024000, 1026000)",3
"514","[ 1026000, 1028000)",2
"515"," 1028000",0
"516","[ 1030000, 1032000)",1
"517"," 1032000",0
"518","[ 1034000, 1036000)",2
"519","[ 1036000, 1038000)",1
"520","[ 1038000, 1040000)",2
"521","[ 1040000, 1042000)",3
"522","[ 1042000, 1044000)",1
"523","[ 1044000, 1046000)",1
"524","[ 1046000, 1048000)",1
"525"," 1048000",0
"526"," 1050000",0
"527","[ 1052000, 1054000)",1
"528","[ 1054000, 1056000)",1
"529","[ 1056000, 1058000)",1
"530","[ 1058000, 1060000)",2
"531"," 1060000",0
"532","[ 1062000, 1064000)",1
"533"," 1064000",0
"534","[ 1066000, 1068000)",1
"535"," 1068000",0
"536"," 1070000",0
"537","[ 1072000, 1074000)",1
"538"," 1074000",0
"539"," 1076000",0
"540","[ 1078000, 1080000)",1
"541","[ 1080000, 1082000)",3
"542"," 1082000",0
"543","[ 1084000, 1086000)",2
"544","[ 1086000, 1088000)",1
"545"," 1088000",0
"546"," 1090000",0
"547","[ 1092000, 1094000)",1
"548"," 1094000",0
"549","[ 1096000, 1098000)",1
"550"," 1098000",0
"551"," 1100000",0
"552"," 1102000",0
"553","[ 1104000, 1106000)",1
"554"," 1106000",0
"555"," 1108000",0
"556"," 1110000",0
"557"," 1112000",0
"558"," 1114000",0
"559","[ 1116000, 1118000)",2
"560","[ 1118000, 1120000)",1
"561","[ 1120000, 1122000)",1
"562"," 1122000",0
"563","[ 1124000, 1126000)",1
"564"," 1126000",0
"565","[ 1128000, 1130000)",1
"566","[ 1130000, 1132000)",2
"567","[ 1132000, 1134000)",2
"568","[ 1134000, 1136000)",1
"569"," 1136000",0
"570"," 1138000",0
"571"," 1140000",0
"572"," 1142000",0
"573","[ 1144000, 1146000)",1
"574"," 1146000",0
"575"," 1148000",0
"576","[ 1150000, 1152000)",1
"577"," 1152000",0
"578","[ 1154000, 1156000)",1
"579"," 1156000",0
"580"," 1158000",0
"581","[ 1160000, 1162000)",1
"582"," 1162000",0
"583"," 1164000",0
"584"," 1166000",0
"585"," 1168000",0
"586","[ 1170000, 1172000)",1
"587","[ 1172000, 1174000)",1
"588"," 1174000",0
"589"," 1176000",0
"590"," 1178000",0
"591"," 1180000",0
"592","[ 1182000, 1184000)",1
"593"," 1184000",0
"594"," 1186000",0
"595"," 1188000",0
"596"," 1190000",0
"597"," 1192000",0
"598"," 1194000",0
"599"," 1196000",0
"600"," 1198000",0
"601","[ 1200000, 1202000)",1
"602","[ 1202000, 1204000)",1
"603"," 1204000",0
"604"," 1206000",0
"605"," 1208000",0
"606","[ 1210000, 1212000)",1
"607","[ 1212000, 1214000)",1
"608","[ 1214000, 1216000)",1
"609"," 1216000",0
"610"," 1218000",0
"611","[ 1220000, 1222000)",1
"612","[ 1222000, 1224000)",1
"613","[ 1224000, 1226000)",2
"614","[ 1226000, 1228000)",1
"615"," 1228000",0
"616"," 1230000",0
"617"," 1232000",0
"618"," 1234000",0
"619"," 1236000",0
"620"," 1238000",0
"621"," 1240000",0
"622"," 1242000",0
"623"," 1244000",0
"624","[ 1246000, 1248000)",1
"625"," 1248000",0
"626"," 1250000",0
"627"," 1252000",0
"628"," 1254000",0
"629","[ 1256000, 1258000)",2
"630"," 1258000",0
"631"," 1260000",0
"632","[ 1262000, 1264000)",1
"633"," 1264000",0
"634"," 1266000",0
"635","[ 1268000, 1270000)",2
