Selected items,unit,fy.year,value,year
Total current year capital gains,$,1978-79,NA,1979
Total current year capital gains,$,1979-80,NA,1980
Total current year capital gains,$,1980-81,NA,1981
Total current year capital gains,$,1981-82,NA,1982
Total current year capital gains,$,1982-83,NA,1983
Total current year capital gains,$,1983-84,NA,1984
Total current year capital gains,$,1984-85,NA,1985
Total current year capital gains,$,1985-86,NA,1986
Total current year capital gains,$,1986-87,NA,1987
Total current year capital gains,$,1987-88,NA,1988
Total current year capital gains,$,1988-89,NA,1989
Total current year capital gains,$,1989-90,NA,1990
Total current year capital gains,$,1990-91,NA,1991
Total current year capital gains,$,1991-92,NA,1992
Total current year capital gains,$,1992-93,NA,1993
Total current year capital gains,$,1993-94,NA,1994
Total current year capital gains,$,1994-95,NA,1995
Total current year capital gains,$,1995-96,NA,1996
Total current year capital gains,$,1996-97,NA,1997
Total current year capital gains,$,1997-98,NA,1998
Total current year capital gains,$,1998-99,NA,1999
Total current year capital gains,$,1999-00,10767733746,2000
Total current year capital gains,$,2000-01,13064179896,2001
Total current year capital gains,$,2001-02,15692704245,2002
Total current year capital gains,$,2002-03,17158109215,2003
Total current year capital gains,$,2003-04,25624315011,2004
Total current year capital gains,$,2004-05,30915500887,2005
Total current year capital gains,$,2005-06,38884892415,2006
Total current year capital gains,$,2006-07,58789071674,2007
Total current year capital gains,$,2007-08,57086596868,2008
Total current year capital gains,$,2008-09,28587908398,2009
Total current year capital gains,$,2009-10,29923427203,2010
Total current year capital gains,$,2010-11,31259860875,2011
Total current year capital gains,$,2011-12,25318277061,2012
Total current year capital gains,$,2012-13,25396882791,2013
