Tax_bracket,Voluntary_contribution,Age,total_voluntary,cum_total_voluntary,xmin,xmax,ymin,ymax
"a. Less than or equal to $18,200",154112704,Aged 30-49,4353118472,0.153958224,0,0.035402828,0,0.035402828
"a. Less than or equal to $18,200",185314114,Aged 50-54,4353118472,0.153958224,0,0.077973255,0.035402828,0.077973255
"a. Less than or equal to $18,200",619971026,Aged 55-59,4353118472,0.153958224,0,0.220393231,0.077973255,0.220393231
"a. Less than or equal to $18,200",2163922497,Aged 60-64,4353118472,0.153958224,0,0.717490314,0.220393231,0.717490314
"a. Less than or equal to $18,200",941304236,Aged 65-69,4353118472,0.153958224,0,0.933727075,0.717490314,0.933727075
"a. Less than or equal to $18,200",268572953,Aged 70 and over,4353118472,0.153958224,0,0.995423754,0.933727075,0.995423754
"a. Less than or equal to $18,200",19920942,Aged under 30,4353118472,0.153958224,0,1,0.995423754,1
"b. $18,201 to $37,000",266466655,Aged 30-49,5173520507,0.336931887,0.153958224,0.051505866,0,0.051505866
"b. $18,201 to $37,000",300598240,Aged 50-54,5173520507,0.336931887,0.153958224,0.109609094,0.051505866,0.109609094
"b. $18,201 to $37,000",876442654,Aged 55-59,5173520507,0.336931887,0.153958224,0.279018426,0.109609094,0.279018426
"b. $18,201 to $37,000",2035187172,Aged 60-64,5173520507,0.336931887,0.153958224,0.672403775,0.279018426,0.672403775
"b. $18,201 to $37,000",1242865553,Aged 65-69,5173520507,0.336931887,0.153958224,0.912639714,0.672403775,0.912639714
"b. $18,201 to $37,000",410407576,Aged 70 and over,5173520507,0.336931887,0.153958224,0.991968205,0.912639714,0.991968205
"b. $18,201 to $37,000",41552657,Aged under 30,5173520507,0.336931887,0.153958224,1,0.991968205,1
"c. $37,001 to $80,000",925153072,Aged 30-49,8124041860,0.624257644,0.336931887,0.113878423,0,0.113878423
"c. $37,001 to $80,000",783586289,Aged 50-54,8124041860,0.624257644,0.336931887,0.210331186,0.113878423,0.210331186
"c. $37,001 to $80,000",1660112759,Aged 55-59,8124041860,0.624257644,0.336931887,0.414676854,0.210331186,0.414676854
"c. $37,001 to $80,000",2519299002,Aged 60-64,8124041860,0.624257644,0.336931887,0.724780992,0.414676854,0.724780992
"c. $37,001 to $80,000",1539247331,Aged 65-69,8124041860,0.624257644,0.336931887,0.914249161,0.724780992,0.914249161
"c. $37,001 to $80,000",505970371,Aged 70 and over,8124041860,0.624257644,0.336931887,0.976529782,0.914249161,0.976529782
"c. $37,001 to $80,000",190673036,Aged under 30,8124041860,0.624257644,0.336931887,1,0.976529782,1
"d. $80,001 to $180,000",1064760268,Aged 30-49,6604882795,0.857854784,0.624257644,0.161208049,0,0.161208049
"d. $80,001 to $180,000",832775270,Aged 50-54,6604882795,0.857854784,0.624257644,0.28729284,0.161208049,0.28729284
"d. $80,001 to $180,000",1437362901,Aged 55-59,6604882795,0.857854784,0.624257644,0.504914098,0.28729284,0.504914098
"d. $80,001 to $180,000",1766060846,Aged 60-64,6604882795,0.857854784,0.624257644,0.772301257,0.504914098,0.772301257
"d. $80,001 to $180,000",1077332505,Aged 65-69,6604882795,0.857854784,0.624257644,0.935412782,0.772301257,0.935412782
"d. $80,001 to $180,000",370703214,Aged 70 and over,6604882795,0.857854784,0.624257644,0.991538413,0.935412782,0.991538413
"d. $80,001 to $180,000",55887791,Aged under 30,6604882795,0.857854784,0.624257644,1,0.991538413,1
"e. $180,001 or more",613481492,Aged 30-49,4019109527,1,0.857854784,0.152641148,0,0.152641148
"e. $180,001 or more",567451117,Aged 50-54,4019109527,1,0.857854784,0.293829417,0.152641148,0.293829417
"e. $180,001 or more",984156296,Aged 55-59,4019109527,1,0.857854784,0.538698657,0.293829417,0.538698657
"e. $180,001 or more",961844309,Aged 60-64,4019109527,1,0.857854784,0.778016422,0.538698657,0.778016422
"e. $180,001 or more",651358909,Aged 65-69,4019109527,1,0.857854784,0.940081901,0.778016422,0.940081901
"e. $180,001 or more",229346041,Aged 70 and over,4019109527,1,0.857854784,0.997145795,0.940081901,0.997145795
"e. $180,001 or more",11471363,Aged under 30,4019109527,1,0.857854784,1,0.997145795,1
