"","Tax.inc.bin","SG","Employ.vol","Nonemply.vol"
"1","[     0,    7163)",151.484431571841,97.3470560013882,49.9127332824541
"2","[  7163,   17984)",369.787569811381,183.092885482774,103.777035189894
"3","[ 83920,  117952)",7378.86945456465,3625.10112848836,780.108770648586
"4","[ 34071,   42615)",2248.39981913843,966.980917884659,467.779398288792
"5","[ 42615,   52586)",3287.28928120267,1319.15402878989,463.972136894978
"6","[ 52586,   65465)",4323.23852940578,1922.87468685361,499.879617069732
"7","[ 17984,   25685)",775.262092473822,348.667653776558,247.845675686969
"8","[ 25685,   34071)",1438.11359029291,610.30560623831,364.968388933561
"9","[117952,13552202]",12187.8314787839,4274.06537954246,1803.11610079657
"10","[ 65465,   83920)",5594.00360036595,2890.28058789771,602.862141795458
