"","Tax.inc.bin","Current.exp","Opt1.ex"
"1","[ 66789,   83399)",1798.68168611626,1565.31453186029
"2","[ 44758,   54561)",960.080542440099,886.487538308172
"3","[ 10043,   19682)",-62.2292372664872,-65.7171300243357
"4","[ 36266,   44758)",737.567373292488,679.081563393724
"5","[ 19682,   27621)",201.666676530485,185.924326591072
"6","[ 27621,   36266)",259.772925869075,223.485028780162
"7","[     0,   10043)",-47.2280785758352,-41.6998539622849
"8","[ 83399,  113514)",2648.85081677417,2182.0625422971
"9","[113514,13552202]",4103.58193965662,2215.8819331148
"10","[ 54561,   66789)",1224.57238248091,1112.48704383352
