"Decile","mean_benefit","prop_benefit","Decile_of"
8,375.851,0.11846,"Deciles by taxable income
before rental deductions"
6,165.273,0.0520904,"Deciles by taxable income
before rental deductions"
2,0,0,"Deciles by taxable income
before rental deductions"
5,91.918,0.0289705,"Deciles by taxable income
before rental deductions"
3,17.7553,0.00559608,"Deciles by taxable income
before rental deductions"
4,62.0794,0.0195661,"Deciles by taxable income
before rental deductions"
1,0,0,"Deciles by taxable income
before rental deductions"
9,639.613,0.201592,"Deciles by taxable income
before rental deductions"
10,1549.07,0.488232,"Deciles by taxable income
before rental deductions"
7,271.253,0.0854928,"Deciles by taxable income
before rental deductions"
8,384.977,0.121337,"Deciles by taxable income
after rental deductions"
6,229.575,0.0723573,"Deciles by taxable income
after rental deductions"
2,44.4958,0.0140241,"Deciles by taxable income
after rental deductions"
5,188.553,0.0594279,"Deciles by taxable income
after rental deductions"
3,85.2706,0.0268755,"Deciles by taxable income
after rental deductions"
4,132.916,0.0418925,"Deciles by taxable income
after rental deductions"
1,91.674,0.0288937,"Deciles by taxable income
after rental deductions"
9,539.852,0.17015,"Deciles by taxable income
after rental deductions"
10,1162.11,0.366271,"Deciles by taxable income
after rental deductions"
7,313.381,0.0987712,"Deciles by taxable income
after rental deductions"
