"Decile","mean_benefit","prop_benefit","Decile_of"
1,93.579,0.0282826,"Deciles by taxable income
after rental deductions"
2,44.6077,0.0134819,"Deciles by taxable income
after rental deductions"
3,85.5228,0.0258478,"Deciles by taxable income
after rental deductions"
4,133.434,0.0403283,"Deciles by taxable income
after rental deductions"
5,189.309,0.0572154,"Deciles by taxable income
after rental deductions"
6,230.641,0.0697072,"Deciles by taxable income
after rental deductions"
7,318.097,0.0961393,"Deciles by taxable income
after rental deductions"
8,409.976,0.123908,"Deciles by taxable income
after rental deductions"
9,594.105,0.179558,"Deciles by taxable income
after rental deductions"
10,1209.44,0.365531,"Deciles by taxable income
after rental deductions"
1,0,0,"Deciles by taxable income
before rental deductions"
2,0,0,"Deciles by taxable income
before rental deductions"
3,17.7553,0.00536622,"Deciles by taxable income
before rental deductions"
4,62.0794,0.0187624,"Deciles by taxable income
before rental deductions"
5,91.918,0.0277805,"Deciles by taxable income
before rental deductions"
6,165.273,0.0499508,"Deciles by taxable income
before rental deductions"
7,271.253,0.0819812,"Deciles by taxable income
before rental deductions"
8,375.851,0.113594,"Deciles by taxable income
before rental deductions"
9,706.16,0.213424,"Deciles by taxable income
before rental deductions"
10,1618.43,0.489141,"Deciles by taxable income
before rental deductions"
