"Income_decile","tot.CG","decile_of"
8,0.0602617,"Taxable Income deciles
without capital gains"
6,0.044938,"Taxable Income deciles
without capital gains"
2,0.0573197,"Taxable Income deciles
without capital gains"
5,0.0437126,"Taxable Income deciles
without capital gains"
3,0.0507131,"Taxable Income deciles
without capital gains"
4,0.0516643,"Taxable Income deciles
without capital gains"
1,0.264518,"Taxable Income deciles
without capital gains"
9,0.0732293,"Taxable Income deciles
without capital gains"
10,0.309024,"Taxable Income deciles
without capital gains"
7,0.0446192,"Taxable Income deciles
without capital gains"
8,0.0469303,"Taxable Income deciles
with capital gains"
6,0.0279373,"Taxable Income deciles
with capital gains"
2,0.0155574,"Taxable Income deciles
with capital gains"
5,0.0246884,"Taxable Income deciles
with capital gains"
3,0.0184351,"Taxable Income deciles
with capital gains"
4,0.0260079,"Taxable Income deciles
with capital gains"
1,0.0343979,"Taxable Income deciles
with capital gains"
9,0.101776,"Taxable Income deciles
with capital gains"
10,0.663163,"Taxable Income deciles
with capital gains"
7,0.0411074,"Taxable Income deciles
with capital gains"
