"New_Age","Decile","avg_net_cg"
"under 50","8",303.382
"under 50","6",140.014
"under 50","2",126.804
"under 50","5",125.66
"under 50","3",120.151
"under 50","4",167.942
"50 to 65","1",4978.97
"50 to 65","2",833.95
"50 to 65","9",563.809
"50 to 65","5",679.542
"50 to 65","6",456.542
"under 50","1",529.864
"under 50","10",1029.7
"65 and over","1",2006.58
"65 and over","5",586.731
"under 50","7",159.239
"50 to 65","7",358.983
"65 and over","6",1572.21
"50 to 65","3",580.851
"65 and over","3",1076.69
"65 and over","2",979.229
"50 to 65","4",713.782
"under 50","9",346.083
"65 and over","4",679.852
"50 to 65","10",3317.65
"65 and over","9",2896.18
"50 to 65","8",497.89
"65 and over","7",2033.19
"65 and over","8",1762.78
"65 and over","10",7958.42
