"New_Age","Decile","mean_ncg"
"Under 50",8,303.382
"Under 50",6,140.006
"Under 50",2,126.804
"Under 50",5,125.66
"Under 50",3,120.158
"Under 50",4,167.942
"55
to
59",1,3209.13
"55
to
59",2,1193.36
"50
to
54",9,473.851
"50
to
54",5,322.513
"50
to
54",6,411.054
"Under 50",1,529.828
"Under 50",10,1029.7
"55
to
59",9,651.019
"65
and
over",1,2006.58
"65
and
over",5,586.731
"Under 50",7,159.249
"60
to
64",7,855.064
"65
and
over",6,1572.21
"50
to
54",3,394.609
"65
and
over",3,1076.69
"60
to
64",9,612.453
"50
to
54",2,624.229
"55
to
59",6,393.576
"65
and
over",2,979.229
"55
to
59",4,1090.82
"50
to
54",4,464.103
"Under 50",9,346.083
"65
and
over",4,679.852
"50
to
54",7,182.791
"50
to
54",1,3220.4
"55
to
59",10,2499.04
"55
to
59",7,239.19
"60
to
64",2,714.656
"60
to
64",10,7958.96
"65
and
over",9,2896.18
"55
to
59",8,527.418
"50
to
54",8,365.393
"55
to
59",3,406.578
"60
to
64",6,624.102
"65
and
over",7,2033.19
"60
to
64",8,700.979
"60
to
64",5,1500.87
"60
to
64",3,970.545
"55
to
59",5,432.748
"50
to
54",10,1954.76
"65
and
over",8,1762.78
"60
to
64",1,2257.59
"60
to
64",4,595.099
"65
and
over",10,7958.42
