"New_Age","Decile","avg_net_cg","avg_net_cg_alpha"
"Under 50","8",303.382,0.0287561
"Under 50","6",140.014,0.0132713
"Under 50","2",126.804,0.0120191
"Under 50","5",125.66,0.0119107
"Under 50","3",120.151,0.0113885
"Under 50","4",167.942,0.0159184
"55 to 59","1",3209.13,0.304177
"55 to 59","2",1193.36,0.113113
"50 to 54","9",473.851,0.044914
"50 to 54","5",322.644,0.0305818
"50 to 54","6",410.904,0.0389476
"Under 50","1",529.864,0.0502231
"Under 50","10",1029.7,0.0976003
"55 to 59","9",651.019,0.0617068
"65 and over","1",2006.58,0.190194
"65 and over","5",586.731,0.0556133
"Under 50","7",159.239,0.0150935
"60 to 64","7",855.064,0.0810472
"65 and over","6",1572.21,0.149022
"50 to 54","3",394.813,0.0374223
"65 and over","3",1076.69,0.102054
"60 to 64","9",612.453,0.0580513
"50 to 54","2",624.229,0.0591675
"55 to 59","6",393.576,0.0373051
"65 and over","2",979.229,0.0928162
"55 to 59","4",1090.82,0.103393
"50 to 54","4",463.89,0.0439698
"Under 50","9",346.083,0.0328035
"65 and over","4",679.852,0.0644397
"50 to 54","7",182.791,0.0173258
"50 to 54","1",10550.2,1
"55 to 59","10",2499.04,0.236871
"55 to 59","7",239.19,0.0226716
"60 to 64","2",714.656,0.0677386
"60 to 64","10",7958.96,0.75439
"65 and over","9",2896.18,0.274515
"55 to 59","8",527.418,0.0499913
"50 to 54","8",365.393,0.0346337
"55 to 59","3",406.578,0.0385375
"60 to 64","6",624.102,0.0591555
"65 and over","7",2033.19,0.192716
"60 to 64","8",700.979,0.0664423
"60 to 64","5",1500.87,0.14226
"60 to 64","3",970.545,0.0919931
"55 to 59","5",432.748,0.041018
"50 to 54","10",1954.76,0.185282
"65 and over","8",1762.78,0.167085
"60 to 64","1",2257.59,0.213986
"60 to 64","4",595.099,0.0564064
"65 and over","10",7958.42,0.754338
