"Selected items","unit","fy.year","value","value.real","year"
"Net rent2","$","1989-90",-2.75e+008,-0.488475,1989
"Net rent2","$","1990-91",-3.9e+008,-0.682337,1990
"Net rent2","$","1991-92",-1.22e+008,-0.212739,1991
"Net rent2","$","1992-93",2.24e+008,0.383582,1992
"Net rent2","$","1993-94",3.99e+008,0.665847,1993
"Net rent2","$","1994-95",6e+006,0.00952727,1994
"Net rent2","$","1995-96",-4.1792e+008,-0.653702,1995
"Net rent2","$","1996-97",1.92215e+007,0.0301559,1996
"Net rent2","$","1997-98",5.99295e+008,0.926343,1997
"Net rent2","$","1998-99",6.98454e+008,1.0593,1998
"Net rent2","$","1999-00",1.55668e+008,0.223174,1999
"Net rent2","$","2000-01",-8.00987e+008,-1.11331,2000
"Net rent2","$","2001-02",-6.22784e+008,-0.84108,2001
"Net rent2","$","2002-03",-1.52546e+009,-2.01092,2002
"Net rent2","$","2003-04",-3.05564e+009,-3.92922,2003
"Net rent2","$","2004-05",-4.45917e+009,-5.57663,2004
"Net rent2","$","2005-06",-5.52846e+009,-6.69033,2005
"Net rent2","$","2006-07",-6.9734e+009,-8.20216,2006
"Net rent2","$","2007-08",-9.06467e+009,-10.2811,2007
"Net rent2","$","2008-09",-7.04489e+009,-7.82932,2008
"Net rent2","$","2009-10",-5.25022e+009,-5.67825,2009
"Net rent2","$","2010-11",-8.36036e+009,-8.77922,2010
"Net rent2","$","2011-12",-8.25118e+009,-8.47769,2011
"Net rent2","$","2012-13",-5.39406e+009,-5.39406,2012
