sum_topdecile,xmax.ppt,Q10,Q09,Q08,Q07,Q06,Q05,QX
1,23.2201222893464,0.0985786792322686,0.337212437233464,0.205007131142118,0.141718016769068,0.0816314758041182,0.0437967407267327,0.0920555190922309
2,36.5579515207588,0.19901058252997,0.386486619178181,0.162048613671622,0.0940821265280649,0.0620466242860767,0.0314888948347287,0.0648365389713568
3,46.4788325588804,0.277310751251703,0.410906550684248,0.124348060674577,0.0749537990027348,0.037129935418732,0.025340704574522,0.0500101983934833
4,52.4625270830339,0.391560925574996,0.331661425942513,0.122665469118548,0.0729358065190063,0.0372505548413802,0.00771272603735651,0.0362130919662
5,58.8182815451028,0.450218864837716,0.348795715037834,0.0752762110910318,0.0452004974112339,0.0329995010802616,0.00890920571478238,0.0386000048271405
6,65.4942503408559,0.501008412377856,0.326840314552557,0.0771262240426182,0.038328056573245,0.0236988727026229,0.0102905315270126,0.0227075882240878
7,71.8979153501731,0.582416029620957,0.24937990030503,0.062483466280167,0.0253554824519416,0.0220905731609057,0.0129188481052387,0.0453557000757601
8,77.2107195267125,0.647087754957679,0.23551172395019,0.0481113531589377,0.015552520641864,0.0200454258276062,0.0125568315532434,0.0211343899104797
9,81.9705920428347,0.720551421816872,0.172889175600324,0.0380652647824113,0.0202752041001993,0.00678040931347246,0.00715848787208873,0.0342800365146317
10,86.9255448950375,0.785650672789972,0.14542249538257,0.0168843454285534,0.00831514879354489,0.0170071354524953,0.00404854380493447,0.0226716583479305
11,92.5706062024436,0.8657301580884,0.0921384687223838,0.0143364350539932,0.00654044924210495,0.007241142400781,0.00332873427861857,0.0106846122137187
12,100,0.925509302586327,0.0465643608754915,0.00509011166369278,0.00416772379845387,0.00268388709274425,0.00141770755222925,0.014566906431061
13,Inf,1,0,0,0,0,0,0
