sum_topdecile,Q10,Q09,Q08,Q07,Q06,Q05,QX,N
1,0.091470561563343,0.274340606515859,0.191958325517413,0.146982558349893,0.102346202388065,0.0538345345894952,0.139067211075931,16730562.2550153
2,0.183478761555127,0.310793108380806,0.166318475258143,0.110349362599432,0.0846386276155755,0.042832603575732,0.101589061015185,9095875.58551992
3,0.25996835097164,0.340236100181211,0.154514442928457,0.0953790416197276,0.0549228660113978,0.028236214363159,0.0667429839244082,6351806.03228277
4,0.355011807598554,0.31168275659986,0.122950088519883,0.0859656865604989,0.0529288253668288,0.0206937989397062,0.0507670364146698,4589885.44407243
5,0.425424290700721,0.28654827833139,0.0946243809577191,0.0584425910502181,0.0593374431384158,0.0190629335724887,0.0565600822490469,4054784.89206545
6,0.491110848413871,0.281820100286115,0.0778967004114624,0.0471044189210901,0.0421692287378389,0.0172843613218606,0.0426143419077616,3814493.53099496
7,0.568166197689984,0.240176967449614,0.0604293387393074,0.0388720022479627,0.0246213604060187,0.0181034533688713,0.0496306800982425,4132857.48953197
8,0.64373392136799,0.212667907898745,0.0583017000230038,0.0181242175874068,0.0199981310601069,0.0123566294778215,0.0348174925849262,2881585.61692948
9,0.711091677592813,0.174195272843627,0.0408186715529857,0.0278997921001656,0.00953514486822283,0.00697277773712659,0.0294866633050591,2809804.75483706
10,0.786807097158479,0.139257460306178,0.020975930637896,0.00903873960502577,0.0165320022385013,0.00408275513659395,0.0233060149173256,2364844.70451809
11,0.861404302999709,0.0873693373489436,0.0167117654238697,0.00821981951005002,0.00778272624473237,0.00521192918906956,0.0133001192836256,2593663.82602606
12,0.926876395076331,0.043157832913648,0.00886484371154953,0.00404093420335807,0.00290371007329058,0.00148415558643535,0.0126721284353873,3162597.1118514
13,1,0,0,0,0,0,0,4693928.26226782
