FREQUENCY	MEASURE	ASGS_2011	TIME_FORMAT	obsTime	obsValue	label_ASGS_2011	label_MEASURE	label_FREQUENCY
Q	1	0	P3M	2011-Q3	4418854	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2011-Q4	4400528.1	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2012-Q1	4428147.6	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2012-Q2	4456988.8	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2012-Q3	4441326.2	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2012-Q4	4553546.9	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2013-Q1	4611943.2	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2013-Q2	4694434	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2013-Q3	4781945.8	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2013-Q4	4963138.9	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2014-Q1	5042934.9	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2014-Q2	5141498.9	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2014-Q3	5227829.1	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	0	P3M	2014-Q4	5403836.9	Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2014-Q2	840721	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	3	P3M	2014-Q3	851960.4	Queensland	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	1	P3M	2011-Q3	1535219.2	New South Wales	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2014-Q1	72476.2	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2014-Q2	72835.3	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2011-Q4	493336.4	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	5	P3M	2012-Q1	505891.6	Western Australia	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2012-Q2	1150030.9	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2012-Q3	1136055	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2012-Q3	35229.2	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	6	P3M	2012-Q3	67739.2	Tasmania	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2014-Q1	1294655.9	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2014-Q1	40478.9	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	7	P3M	2014-Q2	41643.1	Northern Territory	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
Q	1	2	P3M	2014-Q4	1377695.1	Victoria	Value of dwelling stock: Owned by all sectors ($m)	Quarterly
